,n,Relations,FCY Result
0,6,"[[1, 4], [3, 6]]","(False, 500)"
1,7,"[[1, 4], [3, 6]]","(False, 500)"
2,8,"[[1, 4], [3, 6]]","(False, 500)"
3,9,"[[1, 4], [3, 6]]","(False, 500)"
4,10,"[[1, 4], [3, 6]]","(False, 500)"
5,11,"[[1, 4], [3, 6]]","(False, 500)"
6,12,"[[1, 4], [3, 6]]","(False, 500)"
7,13,"[[1, 4], [3, 6]]","(False, 500)"
8,14,"[[1, 4], [3, 6]]","(False, 500)"
9,15,"[[1, 4], [3, 6]]","(False, 500)"
10,16,"[[1, 4], [3, 6]]","(False, 500)"
11,17,"[[1, 4], [3, 6]]","(False, 500)"
12,18,"[[1, 4], [3, 6]]","(False, 500)"
13,19,"[[1, 4], [3, 6]]","(False, 500)"
14,20,"[[1, 4], [3, 6]]","(False, 500)"
15,21,"[[1, 4], [3, 6]]","(False, 500)"
16,22,"[[1, 4], [3, 6]]","(False, 500)"
17,23,"[[1, 4], [3, 6]]","(False, 500)"
18,24,"[[1, 4], [3, 6]]","(False, 500)"
19,25,"[[1, 4], [3, 6]]","(False, 500)"
20,26,"[[1, 4], [3, 6]]","(False, 500)"
21,27,"[[1, 4], [3, 6]]","(False, 500)"
22,28,"[[1, 4], [3, 6]]","(False, 500)"
23,29,"[[1, 4], [3, 6]]","(False, 500)"
24,30,"[[1, 4], [3, 6]]","(False, 500)"
25,31,"[[1, 4], [3, 6]]","(False, 500)"
26,32,"[[1, 4], [3, 6]]","(False, 500)"
27,33,"[[1, 4], [3, 6]]","(False, 500)"
28,34,"[[1, 4], [3, 6]]","(False, 500)"
29,35,"[[1, 4], [3, 6]]","(False, 500)"
30,36,"[[1, 4], [3, 6]]","(False, 500)"
31,37,"[[1, 4], [3, 6]]","(False, 500)"
32,38,"[[1, 4], [3, 6]]","(False, 500)"
33,39,"[[1, 4], [3, 6]]","(False, 500)"
34,40,"[[1, 4], [3, 6]]","(False, 500)"
35,41,"[[1, 4], [3, 6]]","(False, 500)"
36,42,"[[1, 4], [3, 6]]","(False, 500)"
37,43,"[[1, 4], [3, 6]]","(False, 500)"
38,44,"[[1, 4], [3, 6]]","(False, 500)"
39,45,"[[1, 4], [3, 6]]","(False, 500)"
40,46,"[[1, 4], [3, 6]]","(False, 500)"
41,47,"[[1, 4], [3, 6]]","(False, 500)"
42,48,"[[1, 4], [3, 6]]","(False, 500)"
43,49,"[[1, 4], [3, 6]]","(False, 500)"
44,50,"[[1, 4], [3, 6]]","(False, 500)"
45,51,"[[1, 4], [3, 6]]","(False, 500)"
46,52,"[[1, 4], [3, 6]]","(False, 500)"
47,53,"[[1, 4], [3, 6]]","(False, 500)"
48,54,"[[1, 4], [3, 6]]","(False, 500)"
49,55,"[[1, 4], [3, 6]]","(False, 500)"
50,56,"[[1, 4], [3, 6]]","(False, 500)"
51,57,"[[1, 4], [3, 6]]","(False, 500)"
52,58,"[[1, 4], [3, 6]]","(False, 500)"
53,59,"[[1, 4], [3, 6]]","(False, 500)"
54,60,"[[1, 4], [3, 6]]","(False, 500)"
55,61,"[[1, 4], [3, 6]]","(False, 500)"
56,62,"[[1, 4], [3, 6]]","(False, 500)"
57,63,"[[1, 4], [3, 6]]","(False, 500)"
58,64,"[[1, 4], [3, 6]]","(False, 500)"
59,65,"[[1, 4], [3, 6]]","(False, 500)"
60,66,"[[1, 4], [3, 6]]","(False, 500)"
61,67,"[[1, 4], [3, 6]]","(False, 500)"
62,68,"[[1, 4], [3, 6]]","(False, 500)"
63,69,"[[1, 4], [3, 6]]","(False, 500)"
64,70,"[[1, 4], [3, 6]]","(False, 500)"
65,71,"[[1, 4], [3, 6]]","(False, 500)"
66,72,"[[1, 4], [3, 6]]","(False, 500)"
67,73,"[[1, 4], [3, 6]]","(False, 500)"
68,74,"[[1, 4], [3, 6]]","(False, 500)"
69,75,"[[1, 4], [3, 6]]","(False, 500)"
70,76,"[[1, 4], [3, 6]]","(False, 500)"
71,77,"[[1, 4], [3, 6]]","(False, 500)"
72,78,"[[1, 4], [3, 6]]","(False, 500)"
73,79,"[[1, 4], [3, 6]]","(False, 500)"
74,80,"[[1, 4], [3, 6]]","(False, 500)"
75,81,"[[1, 4], [3, 6]]","(False, 500)"
76,82,"[[1, 4], [3, 6]]","(False, 500)"
77,83,"[[1, 4], [3, 6]]","(False, 500)"
78,84,"[[1, 4], [3, 6]]","(False, 500)"
79,85,"[[1, 4], [3, 6]]","(False, 500)"
80,86,"[[1, 4], [3, 6]]","(False, 500)"
81,87,"[[1, 4], [3, 6]]","(False, 500)"
82,88,"[[1, 4], [3, 6]]","(False, 500)"
83,89,"[[1, 4], [3, 6]]","(False, 500)"
84,90,"[[1, 4], [3, 6]]","(False, 500)"
85,91,"[[1, 4], [3, 6]]","(False, 500)"
86,92,"[[1, 4], [3, 6]]","(False, 500)"
87,93,"[[1, 4], [3, 6]]","(False, 500)"
88,94,"[[1, 4], [3, 6]]","(False, 500)"
89,95,"[[1, 4], [3, 6]]","(False, 500)"
