,n,Relations,FCY Result
0,6,"[[1, 4], [3, 6]]","(False, 100)"
1,7,"[[1, 4], [3, 6]]","(False, 100)"
2,8,"[[1, 4], [3, 6]]","(False, 100)"
3,9,"[[1, 4], [3, 6]]","(False, 100)"
4,10,"[[1, 4], [3, 6]]","(False, 100)"
5,11,"[[1, 4], [3, 6]]","(False, 100)"
6,12,"[[1, 4], [3, 6]]","(False, 100)"
7,13,"[[1, 4], [3, 6]]","(False, 100)"
8,14,"[[1, 4], [3, 6]]","(False, 100)"
9,15,"[[1, 4], [3, 6]]","(False, 100)"
10,16,"[[1, 4], [3, 6]]","(False, 100)"
11,17,"[[1, 4], [3, 6]]","(False, 100)"
12,18,"[[1, 4], [3, 6]]","(False, 100)"
13,19,"[[1, 4], [3, 6]]","(False, 100)"
14,20,"[[1, 4], [3, 6]]","(False, 100)"
15,21,"[[1, 4], [3, 6]]","(False, 100)"
16,22,"[[1, 4], [3, 6]]","(False, 100)"
17,23,"[[1, 4], [3, 6]]","(False, 100)"
18,24,"[[1, 4], [3, 6]]","(False, 100)"
19,25,"[[1, 4], [3, 6]]","(False, 100)"
20,26,"[[1, 4], [3, 6]]","(False, 100)"
21,27,"[[1, 4], [3, 6]]","(False, 100)"
22,28,"[[1, 4], [3, 6]]","(False, 100)"
23,29,"[[1, 4], [3, 6]]","(False, 100)"
24,30,"[[1, 4], [3, 6]]","(False, 100)"
25,31,"[[1, 4], [3, 6]]","(False, 100)"
26,32,"[[1, 4], [3, 6]]","(False, 100)"
27,33,"[[1, 4], [3, 6]]","(False, 100)"
28,34,"[[1, 4], [3, 6]]","(False, 100)"
29,35,"[[1, 4], [3, 6]]","(False, 100)"
30,36,"[[1, 4], [3, 6]]","(False, 100)"
31,37,"[[1, 4], [3, 6]]","(False, 100)"
32,38,"[[1, 4], [3, 6]]","(False, 100)"
33,39,"[[1, 4], [3, 6]]","(False, 100)"
34,40,"[[1, 4], [3, 6]]","(False, 100)"
35,41,"[[1, 4], [3, 6]]","(False, 100)"
36,42,"[[1, 4], [3, 6]]","(False, 100)"
37,43,"[[1, 4], [3, 6]]","(False, 100)"
38,44,"[[1, 4], [3, 6]]","(False, 100)"
39,45,"[[1, 4], [3, 6]]","(False, 100)"
40,46,"[[1, 4], [3, 6]]","(False, 100)"
41,47,"[[1, 4], [3, 6]]","(False, 100)"
42,48,"[[1, 4], [3, 6]]","(False, 100)"
43,49,"[[1, 4], [3, 6]]","(False, 100)"
44,50,"[[1, 4], [3, 6]]","(False, 100)"
45,51,"[[1, 4], [3, 6]]","(False, 100)"
46,52,"[[1, 4], [3, 6]]","(False, 100)"
47,53,"[[1, 4], [3, 6]]","(False, 100)"
48,54,"[[1, 4], [3, 6]]","(False, 100)"
49,55,"[[1, 4], [3, 6]]","(False, 100)"
50,56,"[[1, 4], [3, 6]]","(False, 100)"
51,57,"[[1, 4], [3, 6]]","(False, 100)"
52,58,"[[1, 4], [3, 6]]","(False, 100)"
53,59,"[[1, 4], [3, 6]]","(False, 100)"
54,60,"[[1, 4], [3, 6]]","(False, 100)"
55,61,"[[1, 4], [3, 6]]","(False, 100)"
56,62,"[[1, 4], [3, 6]]","(False, 100)"
57,63,"[[1, 4], [3, 6]]","(False, 100)"
58,64,"[[1, 4], [3, 6]]","(False, 100)"
59,65,"[[1, 4], [3, 6]]","(False, 100)"
60,66,"[[1, 4], [3, 6]]","(False, 100)"
61,67,"[[1, 4], [3, 6]]","(False, 100)"
62,68,"[[1, 4], [3, 6]]","(False, 100)"
63,69,"[[1, 4], [3, 6]]","(False, 100)"
64,70,"[[1, 4], [3, 6]]","(False, 100)"
65,71,"[[1, 4], [3, 6]]","(False, 100)"
66,72,"[[1, 4], [3, 6]]","(False, 100)"
67,73,"[[1, 4], [3, 6]]","(False, 100)"
68,74,"[[1, 4], [3, 6]]","(False, 100)"
69,75,"[[1, 4], [3, 6]]","(False, 100)"
70,76,"[[1, 4], [3, 6]]","(False, 100)"
71,77,"[[1, 4], [3, 6]]","(False, 100)"
72,78,"[[1, 4], [3, 6]]","(False, 100)"
73,79,"[[1, 4], [3, 6]]","(False, 100)"
74,80,"[[1, 4], [3, 6]]","(False, 100)"
75,81,"[[1, 4], [3, 6]]","(False, 100)"
76,82,"[[1, 4], [3, 6]]","(False, 100)"
77,83,"[[1, 4], [3, 6]]","(False, 100)"
78,84,"[[1, 4], [3, 6]]","(False, 100)"
79,85,"[[1, 4], [3, 6]]","(False, 100)"
80,86,"[[1, 4], [3, 6]]","(False, 100)"
81,87,"[[1, 4], [3, 6]]","(False, 100)"
82,88,"[[1, 4], [3, 6]]","(False, 100)"
83,89,"[[1, 4], [3, 6]]","(False, 100)"
