,n,Relations,FCY Result
0,4,"[[1, 3]]","(True, 5)"
1,5,"[[1, 3]]","(True, 6)"
2,5,"[[2, 4]]","(True, 6)"
3,6,"[[1, 3]]","(True, 7)"
4,6,"[[2, 4]]","(True, 7)"
5,6,"[[3, 5]]","(True, 7)"
6,7,"[[1, 3]]","(True, 8)"
7,7,"[[2, 4]]","(True, 8)"
8,7,"[[3, 5]]","(True, 8)"
9,7,"[[4, 6]]","(True, 8)"
10,8,"[[1, 3]]","(True, 9)"
11,8,"[[2, 4]]","(True, 9)"
12,8,"[[3, 5]]","(True, 9)"
13,8,"[[4, 6]]","(True, 9)"
14,8,"[[5, 7]]","(True, 9)"
15,9,"[[1, 3]]","(True, 10)"
16,9,"[[2, 4]]","(True, 10)"
17,9,"[[3, 5]]","(True, 10)"
18,9,"[[4, 6]]","(True, 10)"
19,9,"[[5, 7]]","(True, 10)"
20,9,"[[6, 8]]","(True, 10)"
21,10,"[[1, 3]]","(True, 11)"
22,10,"[[2, 4]]","(True, 11)"
23,10,"[[3, 5]]","(True, 11)"
24,10,"[[4, 6]]","(True, 11)"
25,10,"[[5, 7]]","(True, 11)"
26,10,"[[6, 8]]","(True, 11)"
27,10,"[[7, 9]]","(True, 11)"
28,11,"[[1, 3]]","(True, 12)"
29,11,"[[2, 4]]","(True, 12)"
30,11,"[[3, 5]]","(True, 12)"
31,11,"[[4, 6]]","(True, 12)"
32,11,"[[5, 7]]","(True, 12)"
33,11,"[[6, 8]]","(True, 12)"
34,11,"[[7, 9]]","(True, 12)"
35,11,"[[8, 10]]","(True, 12)"
36,12,"[[1, 3]]","(True, 13)"
37,12,"[[2, 4]]","(True, 13)"
38,12,"[[3, 5]]","(True, 13)"
39,12,"[[4, 6]]","(True, 13)"
40,12,"[[5, 7]]","(True, 13)"
41,12,"[[6, 8]]","(True, 13)"
42,12,"[[7, 9]]","(True, 13)"
43,12,"[[8, 10]]","(True, 13)"
44,12,"[[9, 11]]","(True, 13)"
45,13,"[[1, 3]]","(True, 14)"
46,13,"[[2, 4]]","(True, 14)"
47,13,"[[3, 5]]","(True, 14)"
48,13,"[[4, 6]]","(True, 14)"
49,13,"[[5, 7]]","(True, 14)"
50,13,"[[6, 8]]","(True, 14)"
51,13,"[[7, 9]]","(True, 14)"
52,13,"[[8, 10]]","(True, 14)"
53,13,"[[9, 11]]","(True, 14)"
54,13,"[[10, 12]]","(True, 14)"
55,14,"[[1, 3]]","(True, 15)"
56,14,"[[2, 4]]","(True, 15)"
57,14,"[[3, 5]]","(True, 15)"
58,14,"[[4, 6]]","(True, 15)"
59,14,"[[5, 7]]","(True, 15)"
60,14,"[[6, 8]]","(True, 15)"
61,14,"[[7, 9]]","(True, 15)"
62,14,"[[8, 10]]","(True, 15)"
63,14,"[[9, 11]]","(True, 15)"
64,14,"[[10, 12]]","(True, 15)"
65,14,"[[11, 13]]","(True, 15)"
66,15,"[[1, 3]]","(True, 16)"
67,15,"[[2, 4]]","(True, 16)"
68,15,"[[3, 5]]","(True, 16)"
69,15,"[[4, 6]]","(True, 16)"
70,15,"[[5, 7]]","(True, 16)"
71,15,"[[6, 8]]","(True, 16)"
72,15,"[[7, 9]]","(True, 16)"
73,15,"[[8, 10]]","(True, 16)"
74,15,"[[9, 11]]","(True, 16)"
75,15,"[[10, 12]]","(True, 16)"
76,15,"[[11, 13]]","(True, 16)"
77,15,"[[12, 14]]","(True, 16)"
78,16,"[[1, 3]]","(True, 17)"
